ReqID,ParentID,Status,Area,Title,ImplementationRefs,VerificationRefs,Notes
VHS-REQ-626,VHS-SYS-REQ-008,Active,Comparison Reports,Comparison Report Export For External Viewing,src/reporting/comparisonReportExport.ts;src/reporting/comparisonReportAction.ts;src/reporting/comparisonReportContextMarkup.ts;src/extension.ts,tests/unit/comparisonReportExport.test.ts,"An editor title-bar action exports the open comparison report plus its graphics dependency folder to a user-chosen accessible location as a self-contained timestamped bundle for external browser viewing; prefers the generated graphics report and confirms before falling back to the diagnostic packet; offers open-in-browser and reveal-in-folder follow-ups. The exported graphics report embeds the in-panel revision context (selected and base hash, date, author, subject, and commit body) through the shared renderer (VHS-REQ-644) into the exported copy only, without mutating the retained source report or adding a base href. The webview keeps scripts disabled."
VHS-REQ-155,VHS-SYS-REQ-007,Active,Runtime Discovery,Comparison Runtime Discovery Diagnostics,src/reporting/comparisonRuntimeLocator.ts;src/reporting/comparisonRuntimeDoctor.ts;src/reporting/comparisonReportAction.ts;src/reporting/comparisonReportPacket.ts,tests/unit/comparisonRuntimeLocator.test.ts;tests/unit/comparisonRuntimeDoctor.test.ts;tests/unit/comparisonReportAction.test.ts;tests/unit/comparisonReportPacket.test.ts;tests/unit/comparisonReportRuntimeExecution.test.ts;manual:runtime-discovery-missing-tool-check,Blocked runtime facts preserved end-to-end through retained packet surfaces.
VHS-REQ-147,VHS-SYS-REQ-004,Active,Comparison Reports,Staged Comparison Inputs,src/reporting/comparisonReportRuntimeExecution.ts;src/reporting/comparisonReportPlan.ts,tests/unit/comparisonReportRuntimeExecution.test.ts,External tools receive staged inputs with deterministic filenames; file-move and stale-output evidence retained.
VHS-REQ-148,VHS-SYS-REQ-007,Active,Comparison Reports,Retained Runtime Execution Evidence,src/reporting/comparisonReportRuntimeExecution.ts;src/reporting/comparisonReportPacket.ts;src/reporting/comparisonReportExecutionPlan.ts;src/reporting/comparisonReportAction.ts;src/reporting/comparisonRuntimeDoctor.ts;src/reporting/diagnostics/diagnosticsRecorder.ts;src/reporting/runtime/labviewCliIni.ts,tests/unit/comparisonReportRuntimeExecution.test.ts;tests/unit/comparisonReportPacket.test.ts;tests/unit/comparisonReportAction.test.ts;tests/unit/comparisonRuntimeDoctor.test.ts;tests/unit/diagnosticsRecorder.test.ts;tests/unit/labviewCliIni.test.ts;tests/unit/windowsContainerLabviewCliScript.test.ts,"Runtime attempts retain factual evidence; compact evidence summary provided for failed/blocked executions. Diagnostics bundle (diagnostics/diagnostics-manifest.json + per-attempt subdirs) retains environment fingerprint, pre-launch baseline, and failure classification for cold-start root-cause analysis. Windows host-native compare hardens LabVIEWCLI.ini connect-window keys (OpenAppReferenceTimeoutInSecond and AfterLaunchOpenAppReferenceTimeoutInSecond) before each run via configurable `viHistorySuite.runtime.cliConnectTimeoutSeconds`; the doctor summary surfaces the hardening applied/requestedValue line on `labview-cli-connection-failed` failures so operators can confirm the fix from packet output without opening the diagnostics manifest. The Windows-container LabVIEW CLI script builder accepts the same `cliConnectTimeoutSeconds` value so container and host-native runs harden the connect window identically."
VHS-REQ-156,VHS-SYS-REQ-007,Active,Comparison Reports,Linux Host-Native Headless Comparison Invocation,src/reporting/comparisonReportExecutionPlan.ts;src/reporting/comparisonReportRuntimeExecution.ts,tests/unit/comparisonReportExecutionPlan.test.ts;tests/unit/comparisonReportRuntimeExecution.test.ts,"Linux host-native LabVIEWCLI invocations stay non-headless by default and only pass -Headless when the operator opts in via LV_RTE_LINUX_HEADLESS=1; the Linux container provider continues to invoke LabVIEWCLI with -Headless regardless. Stderr classification adds labview-cli-create-report-permission-error and recognizes Failed to initialize headless LabVIEW. as linux-headless-init-failed; either Linux headless reason wins over generic stderr/diagnostic-log reasons but only linux-headless-recursive-load triggers the headless-session-reset retry. Before launch, Linux host-native labview-cli runs read labview.conf (under ~/natinst/.config/LabVIEW-<version>/, ~/.config/natinst/LabVIEW-<version>/, or /etc/natinst/LabVIEW-<version>/) and block execution with linux-vi-server-tcp-disabled when server.tcp.enabled=False, when the key is absent, or when no candidate config is readable (NI Linux defaults VI Server TCP off); when requestedLabviewVersion is unset the year is inferred from the resolved labviewExe directory (e.g. LabVIEW-2026-64). The lvcompare engine is exempt from this preflight. When TCP is enabled the resolved server.tcp.port (default 3363) is passed to LabVIEWCLI as -PortNumber. Linux host-native staging mirrors VI inputs and report output under a short tmpdir (default $TMPDIR/vi-history-suite-runtime, overridable via LVIE_LINUX_RUNTIME_TMPDIR, opt-out via LVIE_LINUX_DISABLE_RUNTIME_TMPDIR=1) using a directory-boundary check so similarly-prefixed paths do not bypass the workaround for LabVIEW 2026 Linux path-table corruption."
VHS-REQ-596,VHS-SYS-REQ-013,Active,CI And Developer Environment,Devcontainer Source Evaluation,.devcontainer/devcontainer.json;README.md;INSTALL.md;FIRST-RUN.md;docs/development.md;docs/testing/test-plan.md;.github/ISSUE_TEMPLATE/first_time_onboarding_feedback.yml,tests/unit/publicDevcontainerSurface.test.ts;tests/unit/publicDocSourceLinks.test.ts;manual:devcontainer-extension-host,Devcontainer is source-evaluation support with structured first-time feedback.
VHS-REQ-597,VHS-SYS-REQ-012,Active,CI And Developer Environment,Lightweight Hosted CI,.github/workflows/ci.yml;docs/testing/test-plan.md;scripts/checkDocsLinks.js;vitest.config.ts,tests/unit/branchGovernanceWorkflow.test.ts;tests/unit/docsLinkCheckScript.test.ts;tests/unit/requirementsDocs.test.ts;manual:github-actions-build-test-package,Hosted CI is the public required check with traceability audit coverage documentation link-check evidence retained coverage artifacts evidence-backed baseline thresholds and hosted DoD Gate / dod enforcement after package; generated validation/cache/evidence roots are excluded from the docs link-check scan.
VHS-REQ-598,VHS-SYS-REQ-013,Active,CI And Developer Environment,Trusted Windows/LabVIEW Maintainer Workflow,.github/workflows/windows-labview-maintainer.yml;scripts/checkMaintainerRunnerPrerequisites.js;src/tooling/integrationHostRuntime.ts;docs/maintainer-operations.md,tests/unit/windowsLabviewMaintainerWorkflow.test.ts;tests/unit/checkMaintainerRunnerPrerequisites.test.ts;tests/unit/integrationHostRuntime.test.ts;tests/unit/requirementsDocs.test.ts;manual:trusted-windows-labview-runner-dispatch,Self-hosted runner is trusted maintainer evidence only; summary includes trusted-ref decision and runner-evidence/windows-labview-maintainer-summary.txt VSIX evidence path. A prerequisite doctor (checkMaintainerRunnerPrerequisites.js) runs as a fail-fast gate after checkout and before install, reporting every missing host prerequisite (VS Code, LabVIEW, LabVIEW CLI, Node, npm, Git) at once with remediation, and is runnable directly on the runner for self-service readiness validation; the native-Windows integration host fails fast with actionable remediation when VS Code is absent instead of an opaque CommandNotFoundException. The doctor also runs an advisory system-clock-skew preflight (injectable now + authoritative-time collaborators; advisory unknown when the source is unreachable; --fail-on-clock-skew opts into a hard failure) that surfaces the dual-boot clock-skew trap which silently knocks the runner offline with a misleading GitHub registration-deleted error.
VHS-REQ-652,VHS-SYS-REQ-013,Active,CI And Developer Environment,Trusted Linux/LabVIEW Maintainer Workflow,.github/workflows/linux-labview-maintainer.yml;scripts/checkMaintainerRunnerPrerequisites.js;docs/maintainer-operations.md,tests/unit/linuxLabviewMaintainerWorkflow.test.ts;tests/unit/checkMaintainerRunnerPrerequisites.test.ts;tests/unit/requirementsDocs.test.ts;manual:trusted-linux-labview-runner-dispatch,Self-hosted runner is trusted maintainer evidence only; summary includes trusted-ref decision and runner-evidence/linux-labview-maintainer-summary.txt VSIX evidence path. A prerequisite doctor (checkMaintainerRunnerPrerequisites.js) runs as a fail-fast gate after checkout and before install, reporting every missing host prerequisite at once with remediation, and is runnable directly on the runner for self-service readiness validation. The doctor also runs an advisory system-clock-skew preflight (injectable now + authoritative-time collaborators; advisory unknown when the source is unreachable; --fail-on-clock-skew opts into a hard failure) that surfaces the dual-boot clock-skew trap which silently knocks the runner offline.
VHS-REQ-653,VHS-SYS-REQ-004,Active,Runtime Settings,Concurrent LabVIEW Version Conflict Diagnostic,src/reporting/comparisonRuntimeLocator.ts;src/reporting/comparisonRuntimeDoctor.ts;src/reporting/comparisonReportAction.ts;src/commands/openViHistoryCommand.ts;scripts/runWindowsRuntimeMatrix.js;scripts/windows-runtime-matrix/Invoke-RuntimeMatrixSteadyState.ps1;.github/workflows/windows-runtime-matrix.yml,tests/unit/comparisonRuntimeLocator.test.ts;tests/unit/comparisonRuntimeDoctor.test.ts;tests/unit/comparisonReportAction.test.ts;tests/unit/openViHistoryCommand.test.ts;tests/unit/runWindowsRuntimeMatrixScript.test.ts;manual:windows-runtime-matrix-version-conflict-dispatch;tests/unit/requirementsDocs.test.ts,Compare-time peer of the open-time VHS-REQ-637 version gate and sibling of the compare-time VHS-REQ-621 bitness block. comparisonRuntimeLocator.locate short-circuits to blockedReason=windows-host-version-conflict when a running LabVIEW.exe has a known year differing from the requested viHistorySuite.labviewVersion while the bitness matches; the year is inferred best-effort via inferLabviewYearFromExecutablePath and an unknown running year never blocks. The selection retains hostObservedLabviewVersion; comparisonRuntimeDoctor names the observed and selected years and offers a Docker-backed x64 recovery; the pre-launch windows-host-version-conflict block now surfaces a concise close plus Retry Compare toast and suppresses the auto-opened report while still persisting the packet mirroring VHS-REQ-621 (#530). Host-native LabVIEW CLI only. The shared VHS-REQ-622 Windows runtime-conflict harness adds version-A (host 2025/selected 2026) and version-B (host 2026/selected 2025) real-hardware scenarios asserting windows-host-version-conflict on the dispatch-only self-hosted maintainer runner.
VHS-REQ-599,VHS-SYS-REQ-013,Active,CI And Developer Environment,Optional Vagrant Helper,docs/vagrant.md;vagrant/Vagrantfile;vagrant/provision/bootstrap.ps1;vagrant/provision/prepare-cold-labview.ps1;package.json,tests/unit/packageManifest.test.ts;manual:vagrant-validate-when-installed,Vagrant is optional and human-run.
VHS-REQ-600,VHS-SYS-REQ-011,Active,Package Identity,Marketplace Identity And Public Source Metadata,package.json;README.md;INSTALL.md;FIRST-RUN.md;SUPPORT.md;SECURITY.md;docs/maintainer-operations.md;.github/ISSUE_TEMPLATE/first_time_onboarding_feedback.yml,tests/unit/packageManifest.test.ts;tests/unit/publicDocSourceLinks.test.ts;tests/unit/requirementsDocs.test.ts;external:vscode-marketplace-svelderrainruiz.vi-history-suite,Marketplace identity remains stable while onboarding feedback captures stale link reports.
VHS-REQ-601,VHS-SYS-REQ-014,Active,Requirements,Requirements As Agent Work Contracts,docs/requirements/README.md;docs/requirements/copilot-web-issue-generation-prompt.md;docs/requirements/syrs.md;docs/requirements/srs.md;docs/requirements/rtm.csv;docs/requirements/id-index.csv;docs/requirements/traceability-inventory.csv;scripts/auditTraceabilitySteward.js;scripts/generateCloseoutEvidence.js;.github/ISSUE_TEMPLATE/requirement_target.yml,tests/unit/requirementsDocs.test.ts;tests/unit/traceabilityAuditScript.test.ts;tests/unit/closeoutEvidenceScript.test.ts;manual:requirements-quality-check-system-scope,Requirements are active agent work contracts with traceability steward inventory audit mandatory standards closeout evidence published Docker workbench runner standards toolchain provenance checks DoD evidence-source hygiene and decision-complete requirement-target issue payload guidance.
VHS-REQ-602,VHS-SYS-REQ-012,Active,CI And Developer Environment,Dependency Maintenance Automation,.github/dependabot.yml;.github/workflows/codeql.yml;package.json;scripts/auditPackagedRuntimeSurface.js,tests/unit/securityMaintenanceWorkflows.test.ts;tests/unit/packageRuntimeSurfaceAudit.test.ts;manual:dependabot-pr-checks,Dependabot routine updates stay reviewable and package-audit failures retain bounded diagnostics. CodeQL security analysis runs on main/develop push/PR and weekly schedule.
VHS-REQ-607,VHS-SYS-REQ-014,Active,Requirements,Field Intake Separation For Eligibility Reports,.github/ISSUE_TEMPLATE/bug_report.yml;.github/ISSUE_TEMPLATE/first_time_onboarding_feedback.yml,tests/unit/requirementsDocs.test.ts,"Bug and onboarding intake separate selected-file eligibility and Git history evidence from runtime validation output."
VHS-REQ-608,VHS-SYS-REQ-013,Active,CI And Developer Environment,Diagnostic Test VSIX Distribution,.github/workflows/package-test-vsix.yml;docs/maintainer-operations.md;docs/testing/test-plan.md,tests/unit/packageTestVsixWorkflow.test.ts;tests/unit/requirementsDocs.test.ts;manual:diagnostic-test-vsix-dispatch,"Diagnostic VSIX builds are trusted-ref-only, artifact-first, optional unique immutable diagnostic prerelease, and never Marketplace publication."
VHS-REQ-609,VHS-SYS-REQ-016,Active,CI And Developer Environment,Governed Branch Promotion And Marketplace Release Automation,.github/workflows/ci.yml;.github/workflows/marketplace-release.yml;.github/dependabot.yml;docs/maintainer-operations.md;docs/cm/cm-plan.md;docs/testing/test-plan.md;scripts/verifyMarketplaceListing.js,tests/unit/branchGovernanceWorkflow.test.ts;tests/unit/marketplaceReleaseWorkflow.test.ts;tests/unit/marketplaceListingVerification.test.ts;tests/unit/requirementsDocs.test.ts;manual:marketplace-release-environment-setup;manual:marketplace-release-tag-dispatch,"Branch governance protects develop/main promotion; Dependabot targets develop; Marketplace publication is exact-tag-only from main with retained evidence naming required validation surfaces and retained artifacts; the CM plan maps release baselines change control status accounting coverage-risk closeout and user-information re-review triggers. Bounded listing verification retry is retained as marketplace-show plus bounded attempt evidence. Publish step is idempotent on rerun (pre-publish check skips publish when the target version is already on Marketplace); verifier budget covers bounded propagation lag (20 attempts x 30s = 10 minutes); release evidence uploads with if: always() so verifier timeouts do not erase the artifact."
VHS-REQ-610,VHS-SYS-REQ-008,Active,Comparison Reports,Dashboard Aggregate Review,src/dashboard/multiReportDashboard.ts;src/dashboard/multiReportDashboardAction.ts;src/dashboard/niComparisonReportParser.ts;src/dashboard/comparisonReportArchive.ts;src/dashboard/dashboardEtaAccuracy.ts;src/dashboard/dashboardLatestRun.ts;src/dashboard/retainedDashboardEvidence.ts,tests/unit/dashboardEtaAccuracy.test.ts;tests/unit/niComparisonReportParser.test.ts;tests/unit/comparisonReportArchive.test.ts;tests/unit/dashboardLatestRun.test.ts;tests/unit/multiReportDashboard.test.ts;tests/unit/multiReportDashboardAction.test.ts;tests/unit/retainedDashboardEvidence.test.ts;tests/unit/humanReviewSubmission.test.ts;tests/unit/reviewDecisionRecord.test.ts;tests/unit/reviewScenarioSupportPolicy.test.ts,"Dashboard concentrates retained comparison evidence across multiple commit pairs into a single HTML review surface."
VHS-REQ-611,VHS-SYS-REQ-001,Active,Bundled Docs,Installed Bundled Documentation Surface,src/docs/bundledDocumentation.ts;src/docs/bundledDocumentationAction.ts;resources/bundled-docs/manifest.json;resources/bundled-docs/pages/overview.html;resources/bundled-docs/pages/user-workflow.html;resources/bundled-docs/pages/install-and-release.html;resources/bundled-docs/pages/comparison-reports-and-dashboard-review.html;package.json;src/extension.ts,tests/unit/bundledDocumentation.test.ts;tests/unit/bundledDocumentationAction.test.ts;tests/unit/packageManifest.test.ts;tests/unit/extensionActivationLazySideEffects.test.ts;tests/integration/suite/extensionHost.test.ts;tests/unit/requirementsDocs.test.ts,Installed bundled documentation command routing and manifest/page loading stay packaged and user-facing.
VHS-REQ-612,VHS-SYS-REQ-004,Active,Runtime Settings,Installed Runtime Settings CLI Preparation,package.json;src/extension.ts;src/tooling/localRuntimeSettingsCli.ts,tests/unit/localRuntimeSettingsCli.test.ts;tests/unit/packageManifest.test.ts;tests/unit/extensionActivationLazySideEffects.test.ts;tests/integration/suite/extensionHost.test.ts;tests/unit/requirementsDocs.test.ts,Installed prepare command materializes or refreshes local vihs runtime settings CLI and reports actionable preparation outcomes.
VHS-REQ-613,VHS-SYS-REQ-017,Active,CI And Developer Environment,Coverage Intelligence And Test-Risk Mapping,scripts/mapCoverageToTraceability.js;scripts/generateCloseoutEvidence.js;package.json;vitest.config.ts;docs/testing/test-plan.md,tests/unit/coverageMapScript.test.ts;tests/unit/closeoutEvidenceScript.test.ts;tests/unit/requirementsDocs.test.ts;tests/unit/traceabilityAuditScript.test.ts,Coverage map joins Vitest coverage with RTM and traceability inventory so low-coverage requirement risk is visible before floor ratchets; standards closeout runs the map after npm test and before package validation.
VHS-REQ-614,VHS-SYS-REQ-017,Active,CI And Developer Environment,Test Harness Architecture For VS Code Orchestration,tests/unit/vscodeTestHarness.ts,tests/unit/vscodeTestHarness.test.ts;tests/unit/requirementsDocs.test.ts;tests/unit/traceabilityAuditScript.test.ts,Reusable VS Code orchestration fakes support coverage-led tests for command webview storage filesystem clipboard progress output and runtime CLI surfaces.
VHS-REQ-615,VHS-SYS-REQ-012,Active,CI And Developer Environment,Definition-of-Done Operating Requirement,package.json;.github/workflows/ci.yml;.github/workflows/marketplace-release.yml;scripts/checkDefinitionOfDone.js;scripts/auditCustomizationGovernance.js;scripts/generateCloseoutEvidence.js;scripts/verifyMarketplaceListing.js;.github/pull_request_template.md;docs/maintainer-operations.md;docs/cm/cm-plan.md;docs/requirements/srs.md;docs/requirements/rtm.csv;docs/requirements/id-index.csv;docs/requirements/README.md;docs/testing/test-plan.md;docs/requirements/traceability-inventory.csv,tests/unit/definitionOfDoneGate.test.ts;tests/unit/customizationGovernanceAuditScript.test.ts;tests/unit/requirementsDocs.test.ts;tests/unit/traceabilityAuditScript.test.ts;manual:definition-of-done-release-readiness-review,Definition of Done spans issue quality PR evidence required CI gates local gates standards provenance closeout evidence coverage-risk mapping and traceability drift prevention with lightweight requirement-target PR evidence contract fields (linked issue target requirement validation commands traceability/RTM impact out-of-scope closeout readiness) plus decision-complete requirement-target issue evidence including requirement/RTM updates and optional bounded Copilot prompt; release-readiness evidence names traceability docs-link tests package Marketplace listing and closeout expectations; standards closeout evidence runs against a tracked-worktree snapshot records standards.auditTarget fields and runs npm run coverage:map after tests; hosted `DoD Gate / dod` in `.github/workflows/ci.yml` is the authoritative scanner-visible standards DoD PASS source.
VHS-REQ-616,VHS-SYS-REQ-004,Active,Runtime Settings,Runtime Auto-Selection And Stale Settings Repair,src/extension.ts;src/tooling/runtimeAutoDetect.ts;src/tooling/runtimeSettingsSeed.ts;src/tooling/localRuntimeSettingsCli.ts,tests/unit/runtimeAutoDetect.test.ts;tests/unit/runtimeSettingsSeed.test.ts;tests/unit/extensionActivationLazySideEffects.test.ts;tests/unit/requirementsDocs.test.ts,Activation runs a filesystem-only runtime probe and seeds or repairs viHistorySuite.runtimeProvider/labviewVersion/labviewBitness so fresh installs and upgrades arrive with a working comparison provider; precedence is highest installed LabVIEW year (tie-break x64) then docker/2026/x64 then no-runtime.
VHS-REQ-617,VHS-SYS-REQ-004,Active,Runtime Settings,Missing-Runtime User Notification And Status Surface,src/extension.ts;src/ui/runtimeAvailabilityNotice.ts;src/commands/runtimeCommands.ts,tests/unit/runtimeAvailabilityNotice.test.ts;tests/unit/runtimeCommands.test.ts;tests/unit/requirementsDocs.test.ts,Activation registers a status bar item and a focus-throttled re-detect; a one-time first-run information notification is gated by globalState key vihs.firstRunNoRuntimeNoticeShown when no comparison runtime is detected; three trust-gated commands (detectRuntimeNow forceRefresh; resetFirstRunNotice modal-confirm clear; showRuntimeSummary output channel + clipboard copy) expose the runtime surface to users.
VHS-REQ-619,VHS-SYS-REQ-004,Active,Runtime Settings,Git Prerequisite Detection And First-Run Guidance,src/extension.ts;src/tooling/gitPrerequisiteDetect.ts;src/ui/gitPrerequisiteNotice.ts,tests/unit/gitPrerequisiteDetect.test.ts;tests/unit/gitPrerequisiteNotice.test.ts;tests/unit/requirementsDocs.test.ts,Activation probes git --version once via an injectable runner; cached detection drives a Git not detected status bar item plus a one-time first-run notice gated by globalState key vihs.firstRunGitNoticeShown; labviewViHistory.open refuses to run when Git is missing and offers an Install Git action linking to https://git-scm.com/downloads.
