Path,Classification,RtmCoverage,Notes
src/dashboard/multiReportDashboardSummary.ts,supporting,No,"Dashboard summary aggregation (buildDashboardSummary) extracted verbatim from multiReportDashboard to separate pure entry-to-summary aggregation (counts, provider/path/overview/attribute/detail/evidence summaries with pair ordinals) from dashboard orchestration; supporting VHS-REQ-610."
src/dashboard/multiReportDashboardAction.ts,mapped,Yes,Multi-report dashboard action; mapped to VHS-REQ-610.
src/dashboard/niComparisonReportParser.ts,mapped,Yes,NI comparison report parser; mapped to VHS-REQ-610.
src/dashboard/comparisonDetailItemGeometry.ts,mapped,Yes,"Pure extractor of structured geometry (change type, object kind/name, diagram (x,y)) from NI comparison-report diff-detail item text (VHS-REQ-703.10); diagram-space coordinates, not preview pixels; mapped to VHS-REQ-703."
src/dashboard/retainedDashboardEvidence.ts,mapped,Yes,Retained dashboard evidence; mapped to VHS-REQ-610.
src/dashboard/worktreeSnapshotIndex.ts,mapped,Yes,Working-tree snapshot retention index data model and garbage collection; mapped to VHS-REQ-641.
src/docs/bundledDocumentation.ts,mapped,Yes,Bundled documentation manifest/page loading and rendering behavior; mapped to VHS-REQ-611.
src/docs/bundledDocumentationAction.ts,mapped,Yes,Bundled documentation command/action routing behavior; mapped to VHS-REQ-611.
src/domain/viFile.ts,mapped,Yes,VI file domain; mapped through RTM.
src/domain/viMagic.ts,mapped,Yes,VI magic wrapper; mapped through RTM.
src/domain/viMagicCore.ts,mapped,Yes,VI magic core detection; mapped through RTM.
src/extension.ts,mapped,Yes,Extension entry point; mapped through RTM including VHS-REQ-651 command registration.
src/git/gitApi.ts,mapped,Yes,Git API wrapper enabling viHistoryService Git state resolution; mapped through RTM.
src/git/gitCli.ts,mapped,Yes,Git CLI wrapper; mapped through RTM.
src/reporting/comparisonReportAction.ts,mapped,Yes,Comparison report action; mapped through RTM.
src/reporting/comparisonBlockedReason.ts,supporting,No,"Pure comparison blocked-reason projection (deriveComparisonBlockedReason) extracted verbatim from comparisonReportAction and imported back to preserve behavior while isolating the runtime/preflight blocked-reason selection from action orchestration; supporting VHS-REQ-624."
src/reporting/comparisonRevisionMetadata.ts,supporting,No,"Pure revision-metadata projection (toRevisionMetadata) extracted verbatim from comparisonReportAction and imported back to preserve behavior while isolating commit-to-packet revision-metadata mapping from action orchestration; supporting VHS-REQ-643."
src/reporting/cancelledComparisonReportResult.ts,supporting,No,"Pure cancelled-outcome result builder (buildCancelledComparisonReportResult) extracted verbatim from comparisonReportAction and imported back to preserve behavior while isolating cancelled-stage comparison-report result projection from action orchestration; supporting VHS-REQ-643."
src/reporting/retainedComparisonReportEvidenceResult.ts,supporting,No,"Pure retained-evidence result builder (buildRetainedComparisonReportEvidenceResult) extracted verbatim from comparisonReportAction and imported back to preserve behavior while isolating retained-comparison-report-evidence result projection (runtime-selection, runtime-execution, and process-observation facts) from action orchestration; supporting VHS-REQ-643."
src/reporting/canArchiveComparisonReport.ts,supporting,No,"Pure archive-eligibility predicate (canArchiveComparisonReport) extracted verbatim from comparisonReportAction and imported back to preserve behavior while isolating the working-tree snapshot-identity and artifact-plan completeness gate for content-addressed retention from action orchestration; supporting VHS-REQ-641."
src/reporting/windowsContainerAcquisitionResult.ts,supporting,No,"Pure Windows container acquisition-result applier (applyWindowsContainerAcquisitionResult) extracted verbatim from comparisonReportAction and imported back to preserve behavior while isolating the fold of a container-image acquisition outcome (acquired vs container-image-acquisition-failed, with notes) back into the runtime selection from action orchestration; supporting VHS-REQ-643."
src/reporting/archivedComparisonReportSourceRecordReader.ts,supporting,No,"Pure archived comparison-report source-record reader/validator (readValidatedArchivedComparisonReportSourceRecord) extracted verbatim from comparisonReportAction and imported back to preserve behavior while isolating the read/JSON-parse/structural-and-identity-validate/packet-existence gate for a retained source record from action orchestration; supporting VHS-REQ-641."
src/reporting/comparisonReportExecutionPlan.ts,mapped,Yes,Comparison execution plan; mapped through RTM.
src/reporting/comparisonReportExport.ts,mapped,Yes,Comparison report export to an accessible location for external browser viewing plus the source VI path threaded for report re-entry; mapped to VHS-REQ-626 and VHS-REQ-638.
src/reporting/comparisonReportContextMarkup.ts,mapped,Yes,Shared revision-context renderer used by the in-panel comparison report and the exported graphics report; mapped to VHS-REQ-626 and VHS-REQ-644.
src/reporting/comparisonReportPacket.ts,mapped,Yes,Comparison report packet; mapped through RTM.
src/reporting/comparisonReportPacketHtmlValues.ts,supporting,No,"Pure packet HTML value renderers (renderRevisionBodyValue, renderRevisionMetadataValue, renderOptionalYesNo) extracted verbatim from comparisonReportPacket and imported back to preserve behavior while isolating muted-placeholder/HTML-escaped revision-metadata and tri-state yes/no value rendering from packet HTML orchestration; supporting VHS-REQ-643."
src/reporting/comparisonRevisionHashDisplay.ts,supporting,No,"Pure revision-hash display formatter (formatComparisonRevisionHashDisplay) extracted verbatim from comparisonReportPacket and re-exported to preserve the public API while isolating the working-tree-sentinel/committed-hash/not-retained revision-context label formatting from packet orchestration; supporting VHS-REQ-641."
src/reporting/comparisonProviderRequestLabel.ts,supporting,No,"Pure provider-request label deriver (deriveProviderRequestLabel) extracted verbatim from comparisonReportPacket and imported back to preserve behavior while isolating requestedProvider/execution-mode-to-label resolution from packet orchestration; supporting VHS-REQ-643."
src/reporting/comparisonReportCommandRendering.ts,supporting,No,"Pure runtime-command renderer (renderCommand) extracted verbatim from comparisonReportPacket and imported back to preserve behavior while isolating executable/args command-line display formatting from packet orchestration; supporting VHS-REQ-643."
src/reporting/comparisonReportRuntimeNote.ts,supporting,No,"Pure runtime-state note renderer (renderRuntimeNote) extracted verbatim from comparisonReportPacket and imported back to preserve behavior while isolating runtime-execution-state-to-explanatory-note mapping (not-available/container-acquisition/succeeded/failed/not-run) from packet orchestration; supporting VHS-REQ-643."
src/reporting/comparisonReportCompactEvidenceSummary.ts,supporting,No,"Pure compact evidence-summary renderer (renderCompactEvidenceSummary) extracted verbatim from comparisonReportPacket and imported back to preserve behavior while isolating the failed/blocked quick-glance HTML summary (outcome, blocked/failure/diagnostic reasons, exit code, duration, artifacts, doctor lines) from packet orchestration; supporting VHS-REQ-643."
src/reporting/comparisonReportPlan.ts,mapped,Yes,Comparison report plan; mapped through RTM.
src/reporting/comparisonReportPreflight.ts,mapped,Yes,Comparison report preflight; mapped through RTM.
src/reporting/comparisonReportRuntimeExecution.ts,mapped,Yes,Comparison runtime execution; mapped through RTM.
src/reporting/comparisonReportRuntimeExecutionWorktreeSnapshot.ts,supporting,No,"Pure worktree-snapshot identity/provenance helpers (deriveWorktreeSnapshotIdentity, deriveComparedWorktreeSnapshotId, buildWorktreeSnapshotProvenanceNote) extracted verbatim from comparisonReportRuntimeExecution and re-exported to preserve the public API while isolating content-addressed snapshot identity from runtime orchestration; supporting VHS-REQ-641."
src/reporting/runtime/linuxLabviewConfigPaths.ts,supporting,No,"Pure Linux LabVIEW config-path helpers (buildLinuxLabviewIniCandidatePaths, inferLinuxLabviewVersionFromExecutablePath) extracted verbatim from comparisonReportRuntimeExecution and re-exported to preserve the public API while isolating labview.conf candidate derivation from runtime orchestration; supporting VHS-REQ-156."
src/reporting/runtime/containerWorkspaceArgRewrite.ts,supporting,No,"Pure container-workspace argument rewriters (rewriteLabviewCliArgsForContainerWorkspace, rewriteLvcompareArgsForContainerWorkspace, rewriteLvcompareArgsForLinuxContainerWorkspace) extracted verbatim from comparisonReportRuntimeExecution and re-exported to preserve the public API while isolating container staging-path argument remapping from runtime orchestration; supporting VHS-REQ-657."
src/reporting/runtime/selectedTreeMaterializeErrorClassification.ts,supporting,No,"Pure selected-tree materialize error classifier (classifySelectedTreeMaterializeError + long-path diagnostic constant/type) extracted verbatim from comparisonReportRuntimeExecution and re-exported to preserve the public API while isolating MAX_PATH long-path failure classification from runtime orchestration; supporting VHS-REQ-624."
src/reporting/runtime/submoduleGitlinkParsing.ts,supporting,No,"Pure git ls-tree submodule gitlink parser (parseSubmoduleGitlinks) extracted verbatim from comparisonReportRuntimeExecution and re-exported to preserve the public API while isolating NUL-delimited ls-tree parsing from runtime orchestration; supporting VHS-REQ-624."
src/reporting/runtime/labviewCliPortArg.ts,supporting,No,"Pure LabVIEW CLI port-argument helper (appendLabviewCliPortNumberArg) extracted verbatim from comparisonReportRuntimeExecution and re-exported to preserve the public API while isolating -PortNumber argv manipulation from runtime orchestration; supporting VHS-REQ-631."
src/reporting/runtime/localViServerAcquisitionLock.ts,mapped,Yes,"In-process serialization primitive (createLocalViServerAcquisitionLock/localViServerLockKey/sharedLocalViServerAcquisitionLock) that grants a per-key FIFO single-flight slot keyed by the local VI Server endpoint so concurrent host-native LabVIEWCLI launches take turns instead of racing the one VI Server; mapped to VHS-REQ-669."
src/reporting/runtime/cycleMeter.ts,mapped,Yes,"Single-cycle timing meter (createCycleMeter) that measures each external LabVIEW invocation as one cycle of a single-cycle timed loop \u2014 per-cycle duration, monotonic cycle count, and inter-cycle latency gap with a caller-supplied outcome tag \u2014 using an injectable monotonic clock; mapped to VHS-REQ-669."
src/reporting/runtime/interopCommandPlanBuilders.ts,supporting,No,"Pure interop command-plan builders (buildLinuxHostNativeShortPathCommandPlan, buildWindowsInteropCommandPlan) extracted verbatim from comparisonReportRuntimeExecution and re-exported to preserve the public API while isolating short-path/interop argv remapping from runtime orchestration; supporting VHS-REQ-156 and VHS-REQ-624."
src/reporting/runtime/linuxHostNativeStaging.ts,supporting,No,"Pure Linux host-native short-path staging helpers (shouldUseLinuxHostNativeShortPathStaging, resolveLinuxRuntimeTmpRoot, buildLinuxHostNativeShortPathLayout) extracted verbatim from comparisonReportRuntimeExecution and re-exported to preserve the public API while isolating VHS-REQ-156 short-path staging decisions from runtime orchestration; supporting VHS-REQ-156."
src/reporting/runtime/windowsInteropLayout.ts,supporting,No,"Pure Windows interop workspace layout builder (buildWindowsInteropLayout) extracted verbatim from comparisonReportRuntimeExecution and imported back to preserve behavior while isolating interop report/staging path computation from runtime orchestration; supporting VHS-REQ-624."
src/reporting/runtime/runtimeSelectionPredicates.ts,supporting,No,"Pure runtime-selection predicates (resolveEffectiveRuntimePlatform, isHeadlessLabviewCliExecution) extracted verbatim from comparisonReportRuntimeExecution and re-imported to preserve behavior while isolating selection-platform/headless predicates from runtime orchestration; supporting VHS-REQ-156."
src/reporting/runtime/effectiveCommandTimeout.ts,supporting,No,"Pure effective command-timeout policy (resolveEffectiveCommandTimeoutMs, LINUX_HOST_NATIVE_HEADLESS_OPT_IN_DEFAULT_TIMEOUT_MS) extracted verbatim from comparisonReportRuntimeExecution and re-exported to preserve the public API while isolating the Linux host-native headless opt-in timeout bound from runtime orchestration; supporting VHS-REQ-156."
src/reporting/runtime/containerLaunchConstants.ts,supporting,No,"Shared container/host-native launch workspace roots (WINDOWS_CONTAINER_WORKSPACE_ROOT/TEMP_ROOT, LINUX_CONTAINER_WORKSPACE_ROOT/TEMP_ROOT) extracted verbatim from comparisonReportRuntimeExecution into a leaf module imported by both orchestration and the headless launch-script builders to break a would-be circular value import; supporting VHS-REQ-148 and VHS-REQ-657."
src/reporting/runtime/headlessLaunchScriptBuilders.ts,supporting,No,"Windows headless LabVIEWCLI launch-script builders (buildWindowsContainerLabviewCliScript, buildWindowsHostNativeHeadlessCommandPlan, shared buildHeadlessLabviewCliLaunchScript + builder-only timeout/retry consts) extracted verbatim from comparisonReportRuntimeExecution and re-exported to preserve the public API while isolating headless PowerShell launch-script assembly from runtime orchestration; supporting VHS-REQ-148 and VHS-REQ-665."
src/reporting/runtime/linuxContainerLaunchScriptBuilders.ts,supporting,No,"Linux container LabVIEWCLI launch-script builders (buildLinuxContainerLabviewCliScript, buildLinuxContainerDirectCommandScript, shared prelude + connect-timeout resolver + builder-only timeout/retry consts) extracted verbatim from comparisonReportRuntimeExecution and re-exported to preserve the public API while isolating bash launch-script assembly from runtime orchestration; supporting VHS-REQ-148 and VHS-REQ-657."
src/reporting/runtime/containerRuntimePaths.ts,supporting,No,"Container runtime image references + in-container tool paths (DEFAULT_WINDOWS/LINUX_CONTAINER_IMAGE, WINDOWS_CONTAINER_LABVIEW_EXE/CLI/LVCOMPARE, LINUX_CONTAINER_LABVIEW_CLI/LVCOMPARE) bundled with the pure host-mode image selector (resolveContainerImageForHostMode) extracted verbatim from comparisonRuntimeLocator to centralize container launcher paths in a leaf module; supporting VHS-REQ-657."
src/reporting/runtime/containerProviderResolution.ts,supporting,No,"Pure container-provider resolution predicates (resolveContainerProvider, resolveContainerRuntimePlatform) extracted verbatim from comparisonRuntimeLocator and imported back to preserve behavior while isolating provider/runtime-platform derivation from selection orchestration; supporting VHS-REQ-657."
tests/unit/containerProviderResolution.test.ts,supporting,No,"Direct unit tests for the pure container-provider resolution predicates (resolveContainerProvider, resolveContainerRuntimePlatform) covering explicit-value and host-mode fallback branches; supporting VHS-REQ-657."
tests/unit/containerProviderDescriptions.test.ts,supporting,No,"Direct unit tests for the pure container-provider note formatters (describeContainerProviderLabel, describeUnavailableContainerProvider, describeSelectedContainerProvider) covering the CLI/daemon/capability/image unavailable branches and the requested/execution-mode/selection-reason selected-provider branches; supporting VHS-REQ-657."
tests/unit/containerRuntimePaths.test.ts,supporting,No,"Direct unit tests for the container runtime image resolvers (resolveContainerImageForHostMode host-mode selection, resolveWindowsContainerImage/resolveLinuxContainerImage default/override/version-selection and unrecognized-token fallback); supporting VHS-REQ-657."
src/reporting/runtime/configuredCandidateResolution.ts,supporting,No,"Configured runtime-tool candidate resolution (resolveConfiguredCandidates + private buildConfiguredCandidate) extracted verbatim from comparisonRuntimeLocator and imported back to preserve behavior while isolating configured-path candidate normalization from provider-probing orchestration; supporting VHS-REQ-657."
src/reporting/runtime/exactWindowsHostRuntime.ts,supporting,No,"Exact Windows host-native runtime resolution (resolveExactWindowsHostRuntime + private selectWindowsSharedLabviewCliCandidate/describeDetectedWindowsHostAlternativeBitness) extracted verbatim from comparisonRuntimeLocator and imported back to preserve behavior while isolating the supported LabVIEW.exe/LabVIEWCLI pair selection from provider-probing orchestration; supporting VHS-REQ-657."
src/reporting/runtime/legacyWindowsContainerFacts.ts,supporting,No,"Legacy Windows container provider-facts builder (buildLegacyWindowsContainerProviderFacts) extracted verbatim from comparisonRuntimeLocator and imported back to preserve behavior while isolating legacy image-inspect facts synthesis from provider-probing orchestration; supporting VHS-REQ-657."
src/reporting/runtime/runtimeSelectionHelpers.ts,supporting,No,"Pure runtime-selection input helpers (resolveEffectiveExecutionMode, selectPreferredLabviewCandidate) extracted verbatim from comparisonRuntimeLocator and imported back to preserve behavior while isolating effective-execution-mode and preferred-candidate selection from provider-probing orchestration; supporting VHS-REQ-657."
src/reporting/runtime/containerProviderDescriptions.ts,supporting,No,"Pure container-provider note formatters (describeContainerProviderLabel, describeUnavailableContainerProvider, describeSelectedContainerProvider) extracted verbatim from comparisonRuntimeLocator and imported back to preserve behavior while isolating human-readable provider-selection note assembly from selection orchestration; supporting VHS-REQ-657."
src/reporting/runtime/containerSelectionFacts.ts,supporting,No,"Pure container-selection fact builders (buildContainerSelectionFacts, buildContainerToolCandidates) extracted verbatim from comparisonRuntimeLocator and imported back to preserve behavior while isolating container-facts/tool-path derivation from selection orchestration; supporting VHS-REQ-657."
src/reporting/runtime/containerSelectionBuilders.ts,supporting,No,"Container runtime-selection object assemblers (buildSelectedContainerRuntimeSelection, buildUnavailableContainerSelection, and the private fail-closed buildContainerImagePlatformMismatchSelection) extracted verbatim from comparisonRuntimeLocator and imported back to preserve behavior while isolating ComparisonRuntimeSelection assembly from provider-probing orchestration; supporting VHS-REQ-650 and VHS-REQ-657."
src/reporting/runtime/providerDecisions.ts,supporting,No,"Pure provider-decision assembler (buildProviderDecisions) extracted verbatim from comparisonRuntimeLocator and imported back to preserve behavior while isolating the ordered host-native/container RuntimeProviderDecision reason-and-detail assembly from provider-probing orchestration; supporting VHS-REQ-657."
src/reporting/comparisonRuntimeDoctor.ts,mapped,Yes,Comparison runtime doctor; mapped through RTM.
src/reporting/comparisonRuntimeLocator.ts,mapped,Yes,Comparison runtime locator; mapped through RTM.
src/reporting/runtime/windowsRegistryCandidateParsing.ts,supporting,No,"Pure Windows registry LabVIEW candidate parser (parseWindowsRegistryLabviewCandidates) extracted verbatim from comparisonRuntimeLocator and re-exported to preserve the public API while isolating registry-text parsing and unsupported-year filtering from runtime-locator orchestration; supporting VHS-REQ-634."
src/reporting/runtime/windowsDockerSpawn.ts,supporting,No,"Pure Windows Docker spawn helpers (resolveWindowsDockerSpawnCommand, isMissingWindowsDockerCommand) extracted verbatim from comparisonRuntimeLocator and re-exported to preserve the public API while isolating WSL-aware docker invocation selection and missing-docker error classification from runtime-locator orchestration; supporting VHS-REQ-657."
